"","int_age","sex","freq","acc_inv"
"1",20,"M","2","0"
"2",34,"F","1","0"
"3",38,"M","1","0"
"4",44,"F","1","0"
"5",32,"F","3","0"
"6",18,"F","2","0"
"7",26,"F","2","0"
"8",56,"F","3","0"
"9",18,"F","2","0"
"10",56,"F","1","1+"
"11",55,"F","1","0"
"12",35,"F","3","0"
"13",29,"M","3","0"
"14",18,"M","1","1+"
"15",19,"M","1","0"
"16",34,"M","2","0"
"17",19,"F","1","0"
"18",35,"F","2","0"
"19",17,"M","1","0"
"20",18,"M","1","0"
"21",35,"F","3","0"
"22",43,"F","2","0"
"23",18,"M","2","0"
"24",17,"F","2","0"
"25",17,"M","1","0"
"26",23,"F","2","0"
"27",18,"F","1","0"
"28",18,"F","3","0"
"29",18,"M","2","0"
"30",18,"F","3","0"
"31",18,"F","1","0"
"32",18,"F","1","0"
"33",17,"F","1","1+"
"34",27,"F","2","0"
"35",32,"F","1","0"
"36",17,"M","2","1+"
"37",18,"M","2","0"
"38",27,"F","2","0"
"39",18,"F","2","0"
"40",18,"F","2","0"
"41",18,"F","3","0"
"42",33,"F","1","0"
"43",44,"F","1","0"
"44",18,"M","2","0"
"45",17,"F","2","0"
"46",27,"M","1","0"
"47",35,"F","2","0"
"48",18,"F","1","0"
"49",30,"F","2","0"
"50",18,"F","1","0"
"51",17,"F","1","0"
"52",18,"F","1","0"
"53",20,"M","1","0"
"54",17,"F","3","0"
"55",18,"M","3","0"
"56",18,"M","1","0"
"57",19,"M","1","0"
"58",25,"M","3","0"
"59",27,"M","1","0"
"60",25,"F","1","0"
"61",18,"M","2","0"
"62",25,"M","2","0"
"63",18,"M","3","0"
"64",38,"M","1","0"
"65",18,"F","1","0"
"66",40,"F","1","0"
"67",21,"M","3","0"
"68",18,"M","1","0"
"69",19,"F","1","0"
"70",18,"F","3","0"
"71",23,"F","2","0"
"72",18,"F","1","0"
"73",28,"F","3","0"
"74",36,"F","3","0"
"75",17,"M","1","0"
"76",20,"F","1","0"
"77",22,"F","3","0"
"78",46,"F","2","1+"
"79",20,"M","2","0"
"80",18,"M","1","0"
"81",18,"F","2","0"
"82",25,"F","2","0"
"83",17,"M","1","0"
"84",19,"M","2","0"
"85",18,"F","1","0"
"86",42,"M","2","0"
"87",17,"F","1","0"
"88",21,"F","1","1+"
"89",19,"M","1","1+"
"90",18,"M","2","0"
"91",19,"M","1","1+"
"92",18,"M","1","0"
"93",18,"F","1","0"
"94",18,"M","3","0"
"95",20,"F","1","1+"
"96",18,"F","1","0"
"97",18,"M","2","0"
"98",19,"M","2","0"
"99",20,"F","3","0"
"100",18,"F","1","1+"
"101",18,"F","1","0"
"102",18,"F","1","0"
"103",17,"F","1","0"
"104",25,"F","1","0"
"105",18,"M","3","0"
"106",18,"M","1","0"
"107",17,"M","1","0"
"108",28,"M","1","0"
"109",25,"F","3","0"
"110",18,"F","2","0"
"111",21,"M","1","0"
"112",18,"F","1","0"
"113",18,"F","2","1+"
"114",18,"M","1","0"
"115",18,"F","2","0"
"116",23,"F","1","0"
"117",18,"F","1","0"
"118",19,"M","1","0"
"119",17,"M","1","0"
"120",18,"F","1","0"
"121",18,"F","2","0"
"122",21,"F","1","0"
"123",17,"M","1","0"
"124",28,"F","3","0"
"125",19,"M","1","0"
"126",18,"M","2","0"
"127",18,"F","2","0"
"128",18,"F","3","0"
"129",18,"M","2","0"
"130",18,"F","2","0"
"131",27,"M","2","0"
"132",18,"M","3","0"
"133",26,"M","1","0"
"134",33,"F","2","0"
"135",17,"F","3","0"
"136",42,"F","3","0"
"137",19,"F","1","0"
"138",18,"F","1","0"
"139",18,"F","1","0"
"140",26,"M","1","0"
"141",29,"M","1","1+"
"142",21,"F","1","0"
"143",18,"F","2","0"
"144",19,"M","1","0"
"145",19,"F","2","0"
"146",17,"F","1","1+"
"147",30,"M","2","0"
"148",21,"F","1","0"
"149",23,"M","2","0"
"150",24,"F","3","0"
"151",28,"F","1","0"
"152",18,"F","2","0"
"153",18,"F","1","0"
"154",18,"M","1","0"
"155",19,"F","3","0"
"156",19,"F","1","0"
"157",19,"M","1","0"
"158",34,"M","1","0"
"159",18,"F","1","0"
"160",18,"F","1","0"
"161",51,"M","1","0"
"162",22,"M","2","0"
"163",55,"F","2","0"
"164",18,"M","2","0"
"165",20,"M","3","0"
"166",18,"M","2","0"
"167",17,"M","2","0"
"168",17,"M","2","0"
"169",21,"F","2","0"
"170",37,"F","2","0"
"171",18,"F","3","0"
"172",18,"F","1","0"
"173",18,"F","1","0"
"174",19,"F","3","0"
"175",24,"F","2","0"
"176",34,"F","3","0"
"177",18,"M","2","1+"
"178",17,"F","1","0"
"179",17,"M","1","0"
"180",18,"F","1","0"
"181",20,"F","2","0"
"182",18,"F","1","0"
"183",24,"F","2","0"
"184",18,"M","1","0"
"185",17,"M","2","1+"
"186",20,"F","3","0"
"187",29,"F","1","1+"
"188",18,"F","2","0"
"189",42,"F","1","1+"
"190",18,"M","3","0"
"191",18,"F","1","0"
"192",18,"F","2","0"
"193",20,"M","2","0"
"194",18,"M","1","0"
"195",18,"M","1","0"
"196",18,"F","1","0"
"197",18,"F","1","0"
"198",57,"F","2","0"
"199",18,"F","2","0"
"200",19,"M","3","0"
"201",52,"F","2","0"
"202",41,"F","3","0"
"203",22,"F","3","0"
"204",17,"F","1","0"
"205",18,"F","2","0"
"206",31,"F","2","1+"
"207",19,"F","1","0"
"208",28,"M","1","0"
"209",19,"M","1","0"
"210",18,"F","2","0"
"211",17,"F","2","0"
"212",18,"F","2","1+"
"213",17,"F","1","0"
"214",17,"F","2","0"
"215",18,"F","2","0"
"216",18,"F","2","0"
"217",19,"F","1","0"
"218",49,"F","3","0"
"219",19,"M","2","0"
"220",21,"F","3","0"
"221",17,"M","1","0"
"222",19,"F","1","0"
"223",18,"M","2","1+"
"224",19,"M","3","0"
"225",18,"F","3","0"
"226",18,"F","3","0"
"227",18,"M","1","0"
"228",18,"F","2","0"
"229",39,"F","1","0"
"230",22,"F","1","0"
"231",18,"F","1","0"
"232",31,"F","3","0"
"233",23,"F","1","0"
"234",17,"F","1","0"
"235",17,"F","1","1+"
"236",19,"F","3","0"
"237",20,"F","2","1+"
"238",18,"F","3","0"
"239",18,"F","3","0"
"240",35,"F","1","1+"
"241",21,"F","1","0"
"242",18,"F","1","1+"
"243",18,"M","1","0"
"244",18,"F","2","0"
"245",18,"F","2","0"
"246",18,"M","3","0"
"247",18,"F","1","0"
"248",18,"F","1","0"
"249",33,"F","3","0"
"250",21,"F","3","0"
"251",18,"F","1","0"
"252",61,"F","3","0"
"253",66,"F","1","0"
"254",33,"M","3","1+"
"255",18,"F","1","0"
"256",18,"M","2","0"
"257",17,"M","2","0"
"258",30,"F","2","0"
"259",17,"M","1","0"
"260",18,"F","2","0"
"261",28,"F","1","0"
"262",18,"F","2","1+"
"263",18,"M","1","0"
"264",22,"F","2","0"
"265",21,"F","1","0"
"266",18,"F","3","0"
"267",18,"F","2","0"
"268",27,"F","2","0"
"269",20,"F","3","0"
"270",19,"M","2","0"
"271",18,"M","2","0"
"272",18,"M","2","0"
"273",19,"M","2","0"
"274",22,"F","1","0"
"275",17,"M","1","0"
"276",18,"F","1","0"
"277",18,"M","1","0"
"278",23,"F","1","0"
"279",18,"F","3","1+"
"280",18,"F","1","0"
"281",18,"M","2","0"
"282",38,"F","2","0"
"283",18,"M","1","0"
"284",20,"F","1","0"
"285",19,"F","3","0"
"286",18,"F","2","0"
"287",17,"M","2","0"
"288",18,"F","3","0"
"289",18,"M","2","0"
"290",17,"F","2","0"
"291",18,"F","2","0"
"292",30,"M","2","0"
"293",17,"M","1","0"
"294",18,"F","2","0"
"295",18,"F","2","0"
"296",18,"F","1","0"
"297",21,"M","1","0"
"298",32,"F","1","0"
"299",19,"F","1","0"
"300",37,"F","1","0"
"301",17,"M","3","0"
"302",18,"F","1","0"
"303",17,"M","2","0"
"304",20,"F","3","0"
"305",36,"F","3","0"
"306",18,"F","3","0"
"307",18,"F","1","0"
"308",20,"M","1","1+"
"309",18,"F","1","0"
"310",34,"F","1","0"
"311",18,"M","1","0"
"312",19,"F","1","0"
"313",28,"F","1","0"
"314",21,"M","3","0"
"315",18,"F","1","0"
"316",32,"F","2","0"
"317",17,"F","2","0"
"318",18,"M","2","0"
"319",18,"M","3","0"
"320",18,"F","3","0"
"321",18,"F","1","0"
"322",18,"F","2","0"
"323",24,"F","1","0"
"324",19,"M","1","0"
"325",18,"M","2","0"
"326",18,"F","2","0"
"327",24,"M","3","0"
"328",19,"M","1","0"
"329",30,"F","1","0"
"330",20,"M","1","0"
"331",30,"F","1","0"
"332",17,"M","2","1+"
"333",17,"M","1","0"
"334",18,"F","3","0"
"335",18,"F","1","0"
"336",18,"M","2","0"
"337",18,"M","3","0"
"338",19,"F","1","0"
"339",35,"M","2","0"
"340",18,"F","2","0"
"341",52,"F","2","0"
"342",37,"F","2","0"
"343",37,"F","1","0"
"344",40,"F","2","0"
"345",18,"F","1","0"
"346",19,"F","1","0"
"347",51,"M","1","0"
"348",29,"M","1","0"
"349",17,"F","2","0"
"350",19,"M","2","0"
"351",17,"M","1","0"
"352",22,"F","3","0"
"353",18,"M","1","0"
"354",20,"F","1","0"
"355",21,"M","1","0"
"356",17,"F","2","0"
"357",18,"M","1","0"
"358",22,"F","1","0"
"359",21,"F","3","0"
"360",20,"M","3","0"
"361",18,"F","1","1+"
"362",30,"M","1","0"
"363",27,"F","3","0"
"364",19,"F","1","0"
"365",21,"M","1","1+"
"366",18,"M","2","0"
"367",19,"M","1","0"
"368",18,"M","1","0"
"369",18,"F","1","1+"
"370",18,"F","1","0"
"371",18,"F","1","0"
"372",18,"M","2","0"
"373",18,"F","3","0"
"374",17,"M","1","1+"
"375",18,"F","2","0"
"376",33,"F","1","0"
"377",18,"F","1","1+"
"378",18,"F","1","0"
"379",17,"M","1","0"
"380",18,"F","1","0"
"381",18,"M","1","0"
"382",19,"M","3","0"
"383",18,"F","2","0"
"384",18,"M","3","0"
"385",18,"M","1","0"
"386",24,"F","1","0"
"387",17,"M","2","0"
"388",18,"F","1","0"
"389",18,"F","2","0"
"390",29,"F","1","0"
"391",38,"M","1","0"
"392",18,"F","2","0"
"393",18,"M","2","0"
"394",31,"F","1","0"
"395",21,"F","1","1+"
"396",17,"M","2","0"
"397",36,"F","2","0"
"398",18,"F","1","0"
"399",37,"F","1","0"
"400",18,"M","2","0"
"401",24,"M","2","0"
"402",17,"M","1","0"
"403",27,"F","3","0"
"404",19,"F","2","0"
"405",18,"M","3","0"
"406",18,"F","1","0"
"407",17,"F","2","0"
"408",18,"F","1","0"
"409",20,"F","2","1+"
"410",27,"M","2","0"
"411",18,"F","1","0"
"412",39,"F","1","0"
"413",22,"F","1","0"
"414",17,"M","1","0"
"415",17,"M","1","1+"
"416",32,"F","2","0"
"417",19,"M","3","0"
"418",29,"F","1","0"
"419",18,"M","2","0"
"420",19,"F","1","0"
"421",18,"M","1","0"
"422",18,"F","1","0"
"423",25,"F","1","0"
"424",28,"M","1","0"
"425",17,"M","3","0"
"426",18,"F","1","0"
"427",18,"M","1","0"
"428",18,"M","1","0"
"429",35,"F","1","0"
"430",18,"M","2","0"
"431",18,"F","1","0"
"432",18,"M","1","0"
"433",18,"F","1","0"
"434",18,"M","2","0"
"435",21,"F","3","0"
"436",18,"F","1","0"
"437",18,"M","1","0"
"438",19,"F","1","0"
"439",32,"F","1","0"
"440",18,"M","1","0"
"441",41,"M","2","0"
"442",17,"M","2","0"
"443",18,"F","2","0"
"444",22,"F","3","0"
"445",18,"M","1","0"
"446",17,"M","1","0"
"447",51,"M","1","0"
"448",23,"F","1","0"
"449",17,"M","1","1+"
"450",18,"F","1","0"
"451",18,"M","3","0"
"452",17,"M","2","0"
"453",32,"F","3","0"
"454",54,"M","1","0"
"455",19,"M","2","0"
"456",35,"M","1","0"
"457",21,"F","2","0"
"458",18,"F","1","0"
"459",17,"F","1","0"
"460",54,"F","2","0"
"461",43,"M","1","0"
"462",19,"F","1","0"
"463",18,"F","1","0"
"464",18,"F","1","0"
"465",19,"F","1","0"
"466",30,"F","2","0"
"467",18,"F","1","0"
"468",18,"F","3","0"
"469",18,"F","1","0"
"470",17,"F","2","0"
"471",17,"F","3","0"
"472",17,"F","1","0"
"473",18,"M","1","1+"
"474",27,"F","1","0"
"475",18,"M","1","0"
"476",18,"F","2","0"
"477",18,"F","1","0"
"478",18,"M","1","0"
"479",19,"F","2","0"
"480",18,"M","3","1+"
"481",24,"F","1","0"
"482",17,"M","1","0"
"483",31,"F","3","0"
"484",18,"M","1","0"
"485",18,"M","3","0"
"486",25,"F","2","0"
"487",17,"M","1","0"
"488",18,"M","1","0"
"489",32,"M","2","0"
"490",18,"F","1","0"
"491",20,"F","3","0"
"492",17,"F","1","0"
"493",33,"F","1","0"
"494",18,"M","1","0"
"495",19,"F","2","0"
"496",18,"F","2","0"
"497",41,"M","2","0"
"498",43,"F","2","0"
"499",17,"M","2","1+"
"500",17,"F","1","0"
"501",19,"F","1","0"
"502",18,"F","1","0"
"503",19,"F","1","1+"
"504",32,"M","3","0"
"505",31,"F","2","0"
"506",18,"M","1","1+"
"507",18,"M","1","0"
"508",17,"M","2","0"
"509",32,"F","1","0"
"510",18,"F","1","0"
"511",19,"M","1","0"
"512",18,"F","2","0"
"513",21,"M","2","0"
"514",18,"F","2","0"
"515",18,"M","1","0"
"516",45,"M","1","0"
"517",19,"F","1","0"
"518",18,"M","1","0"
"519",22,"M","1","0"
"520",18,"F","3","0"
"521",18,"M","2","0"
"522",17,"M","2","0"
"523",18,"M","3","0"
"524",18,"M","2","0"
"525",19,"F","3","0"
"526",25,"M","2","0"
"527",19,"M","1","0"
"528",18,"F","1","0"
"529",17,"M","1","0"
"530",18,"F","1","0"
"531",30,"F","1","0"
"532",17,"F","1","0"
"533",17,"F","1","0"
"534",20,"F","2","0"
"535",18,"F","2","0"
"536",17,"M","2","0"
"537",18,"M","2","0"
"538",24,"M","2","0"
"539",18,"F","1","0"
"540",17,"M","1","1+"
"541",20,"F","2","0"
"542",19,"M","1","0"
"543",17,"M","1","0"
"544",46,"F","2","0"
"545",33,"M","3","0"
"546",18,"F","1","0"
"547",18,"M","1","1+"
"548",22,"F","1","0"
"549",18,"M","1","0"
"550",30,"M","3","0"
"551",18,"M","2","1+"
"552",26,"M","1","0"
"553",24,"F","1","0"
"554",19,"M","1","0"
"555",20,"F","1","0"
"556",20,"F","1","0"
"557",22,"M","1","0"
"558",18,"M","1","0"
"559",18,"M","2","0"
"560",19,"M","3","0"
"561",19,"F","3","0"
"562",17,"M","1","0"
"563",19,"F","2","0"
"564",34,"M","2","0"
"565",57,"F","1","0"
"566",18,"M","1","0"
"567",18,"F","1","0"
"568",23,"F","1","0"
"569",22,"F","1","0"
"570",18,"F","1","0"
"571",32,"F","1","0"
"572",17,"M","1","0"
"573",19,"F","1","0"
"574",18,"F","3","0"
"575",18,"M","3","0"
"576",18,"F","1","0"
"577",29,"M","1","0"
"578",18,"F","1","0"
"579",24,"F","1","0"
"580",27,"M","2","0"
"581",18,"F","3","0"
"582",18,"F","1","0"
"583",37,"M","1","0"
"584",19,"F","1","0"
"585",20,"F","1","0"
"586",18,"M","1","0"
"587",18,"M","1","0"
"588",18,"M","3","0"
"589",19,"F","1","0"
"590",29,"F","1","0"
"591",18,"M","2","1+"
"592",33,"M","1","0"
"593",18,"M","1","0"
"594",17,"M","3","0"
