"","age","sex","freq","miles","acc_inv"
"1",19.82,"M","2",1200,"0"
"2",34,"F","1",1800,"0"
"3",37.71,"M","1",4000,"0"
"4",44.49,"F","1",8000,"0"
"5",32.23,"F","3",4000,"0"
"6",17.86,"F","2",1000,"0"
"7",25.54,"F","2",NA,"0"
"8",55.53,"F","3",4000,"0"
"9",17.81,"F","2",NA,"0"
"10",56.06,"F","1",6200,"1+"
"11",54.64,"F","1",5000,"0"
"12",35.09,"F","3",2000,"0"
"13",29.02,"M","3",7000,"0"
"14",17.8,"M","1",9000,"1+"
"15",18.52,"M","1",5200,"0"
"16",33.83,"M","2",2000,"0"
"17",18.88,"F","1",NA,"0"
"18",35.3,"F","2",560,"0"
"19",17.4,"M","1",6000,"0"
"20",17.62,"M","1",12000,"0"
"21",34.7,"F","3",600,"0"
"22",43.35,"F","2",5000,"0"
"23",17.57,"M","2",12000,"0"
"24",17.26,"F","2",4000,"0"
"25",17.32,"M","1",8000,"0"
"26",22.61,"F","2",8000,"0"
"27",17.89,"F","1",600,"0"
"28",17.72,"F","3",3000,"0"
"29",17.52,"M","2",2000,"0"
"30",18.5,"F","3",400,"0"
"31",18.14,"F","1",16000,"0"
"32",18.16,"F","1",4460,"0"
"33",17.38,"F","1",6000,"1+"
"34",27.17,"F","2",8000,"0"
"35",32.37,"F","1",6000,"0"
"36",17.46,"M","2",6000,"1+"
"37",17.84,"M","2",6000,"0"
"38",26.51,"F","2",3000,"0"
"39",17.56,"F","2",1600,"0"
"40",18.14,"F","2",2000,"0"
"41",18.08,"F","3",2000,"0"
"42",32.98,"F","1",2000,"0"
"43",44.2,"F","1",1600,"0"
"44",17.56,"M","2",8000,"0"
"45",17.48,"F","2",760,"0"
"46",26.87,"M","1",8000,"0"
"47",34.78,"F","2",8000,"0"
"48",17.83,"F","1",8000,"0"
"49",30.27,"F","2",3400,"0"
"50",17.63,"F","1",5000,"0"
"51",17.48,"F","1",14000,"0"
"52",17.99,"F","1",4000,"0"
"53",20.02,"M","1",8000,"0"
"54",17.25,"F","3",1000,"0"
"55",17.51,"M","3",1000,"0"
"56",17.71,"M","1",18000,"0"
"57",19.42,"M","1",5000,"0"
"58",25.16,"M","3",2000,"0"
"59",26.87,"M","1",6000,"0"
"60",25.37,"F","1",2000,"0"
"61",18.22,"M","2",16000,"0"
"62",25.14,"M","2",5000,"0"
"63",17.8,"M","3",600,"0"
"64",37.83,"M","1",9000,"0"
"65",17.71,"F","1",10000,"0"
"66",40.24,"F","1",1200,"0"
"67",21.14,"M","3",1400,"0"
"68",17.82,"M","1",2100,"0"
"69",19,"F","1",4000,"0"
"70",17.94,"F","3",NA,"0"
"71",22.65,"F","2",NA,"0"
"72",17.8,"F","1",50,"0"
"73",28.34,"F","3",6000,"0"
"74",35.96,"F","3",4,"0"
"75",17.38,"M","1",16000,"0"
"76",20.42,"F","1",NA,"0"
"77",22.07,"F","3",1200,"0"
