"","age_group","sex","freq","acc_inv","hp"
"1","(18,21]","M","2","0","0"
"2","(21,80]","F","1","0","0"
"3","(21,80]","M","1","0","0"
"4","(21,80]","F","1","0","0"
"5","(21,80]","F","3","0","0"
"6","(16,18]","F","2","0","0"
"7","(21,80]","F","2","0","0"
"8","(21,80]","F","3","0","0"
"9","(16,18]","F","2","0","0"
"10","(21,80]","F","1","1+","0"
"11","(21,80]","F","1","0","0"
"12","(21,80]","F","3","0","0"
"13","(21,80]","M","3","0","0"
"14","(16,18]","M","1","1+","0"
"15","(18,21]","M","1","0","0"
"16","(21,80]","M","2","0","0"
"17","(18,21]","F","1","0","0"
"18","(21,80]","F","2","0","0"
"19","(16,18]","M","1","0","0"
"20","(16,18]","M","1","0","0"
"21","(21,80]","F","3","0","0"
"22","(21,80]","F","2","0","0"
"23","(16,18]","M","2","0","0"
"24","(16,18]","F","2","0","0"
"25","(16,18]","M","1","0","0"
"26","(21,80]","F","2","0","0"
"27","(16,18]","F","1","0","0"
"28","(16,18]","F","3","0","0"
"29","(16,18]","M","2","0","0"
"30","(18,21]","F","3","0","0"
"31","(18,21]","F","1","0","0"
"32","(18,21]","F","1","0","0"
"33","(16,18]","F","1","1+","0"
"34","(21,80]","F","2","0","0"
"35","(21,80]","F","1","0","0"
"36","(16,18]","M","2","1+","0"
"37","(16,18]","M","2","0","0"
"38","(21,80]","F","2","0","0"
"39","(16,18]","F","2","0","0"
"40","(18,21]","F","2","0","0"
"41","(18,21]","F","3","0","0"
"42","(21,80]","F","1","0","0"
"43","(21,80]","F","1","0","0"
"44","(16,18]","M","2","0","0"
"45","(16,18]","F","2","0","0"
"46","(21,80]","M","1","0","0"
"47","(21,80]","F","2","0","0"
"48","(16,18]","F","1","0","0"
"49","(21,80]","F","2","0","0"
"50","(16,18]","F","1","0","0"
"51","(16,18]","F","1","0","0"
"52","(16,18]","F","1","0","0"
"53","(18,21]","M","1","0","0"
"54","(16,18]","F","3","0","0"
"55","(16,18]","M","3","0","0"
"56","(16,18]","M","1","0","0"
"57","(18,21]","M","1","0","0"
"58","(21,80]","M","3","0","0"
"59","(21,80]","M","1","0","0"
"60","(21,80]","F","1","0","0"
"61","(18,21]","M","2","0","0"
"62","(21,80]","M","2","0","0"
"63","(16,18]","M","3","0","0"
"64","(21,80]","M","1","0","0"
"65","(16,18]","F","1","0","0"
"66","(21,80]","F","1","0","0"
"67","(21,80]","M","3","0","0"
"68","(16,18]","M","1","0","0"
"69","(18,21]","F","1","0","0"
"70","(16,18]","F","3","0","0"
"71","(21,80]","F","2","0","0"
"72","(16,18]","F","1","0","0"
"73","(21,80]","F","3","0","0"
"74","(21,80]","F","3","0","0"
"75","(16,18]","M","1","0","0"
"76","(18,21]","F","1","0","0"
"77","(21,80]","F","3","0","0"
"78","(21,80]","F","2","1+","0"
"79","(18,21]","M","2","0","0"
"80","(16,18]","M","1","0","0"
"81","(16,18]","F","2","0","0"
"82","(21,80]","F","2","0","0"
"83","(16,18]","M","1","0","0"
"84","(18,21]","M","2","0","0"
"85","(18,21]","F","1","0","0"
"86","(21,80]","M","2","0","0"
"87","(16,18]","F","1","0","0"
"88","(18,21]","F","1","1+","0"
"89","(18,21]","M","1","1+","0"
"90","(16,18]","M","2","0","0"
"91","(18,21]","M","1","1+","0"
"92","(18,21]","M","1","0","0"
"93","(16,18]","F","1","0","0"
"94","(16,18]","M","3","0","0"
"95","(18,21]","F","1","1+","0"
"96","(18,21]","F","1","0","0"
"97","(16,18]","M","2","0","0"
"98","(18,21]","M","2","0","0"
"99","(18,21]","F","3","0","0"
"100","(16,18]","F","1","1+","0"
"101","(16,18]","F","1","0","0"
"102","(18,21]","F","1","0","0"
"103","(16,18]","F","1","0","0"
"104","(21,80]","F","1","0","0"
"105","(16,18]","M","3","0","0"
"106","(16,18]","M","1","0","0"
"107","(16,18]","M","1","0","0"
"108","(21,80]","M","1","0","0"
"109","(21,80]","F","3","0","0"
"110","(18,21]","F","2","0","0"
"111","(18,21]","M","1","0","0"
"112","(18,21]","F","1","0","0"
"113","(16,18]","F","2","1+","0"
"114","(16,18]","M","1","0","0"
"115","(16,18]","F","2","0","0"
"116","(21,80]","F","1","0","0"
"117","(16,18]","F","1","0","0"
"118","(18,21]","M","1","0","0"
"119","(16,18]","M","1","0","0"
"120","(16,18]","F","1","0","0"
"121","(16,18]","F","2","0","0"
"122","(21,80]","F","1","0","0"
"123","(16,18]","M","1","0","0"
"124","(21,80]","F","3","0","0"
"125","(18,21]","M","1","0","0"
"126","(16,18]","M","2","0","0"
"127","(16,18]","F","2","0","0"
"128","(18,21]","F","3","0","0"
"129","(16,18]","M","2","0","0"
"130","(16,18]","F","2","0","0"
"131","(21,80]","M","2","0","0"
"132","(18,21]","M","3","0","0"
"133","(21,80]","M","1","0","0"
"134","(21,80]","F","2","0","0"
"135","(16,18]","F","3","0","0"
"136","(21,80]","F","3","0","0"
"137","(18,21]","F","1","0","0"
"138","(18,21]","F","1","0","0"
"139","(16,18]","F","1","0","0"
"140","(21,80]","M","1","0","0"
"141","(21,80]","M","1","1+","0"
"142","(21,80]","F","1","0","0"
"143","(16,18]","F","2","0","0"
"144","(18,21]","M","1","0","0"
"145","(18,21]","F","2","0","0"
"146","(16,18]","F","1","1+","0"
"147","(21,80]","M","2","0","0"
"148","(21,80]","F","1","0","0"
"149","(21,80]","M","2","0","0"
"150","(21,80]","F","3","0","0"
"151","(21,80]","F","1","0","0"
"152","(18,21]","F","2","0","0"
"153","(16,18]","F","1","0","0"
"154","(16,18]","M","1","0","0"
"155","(18,21]","F","3","0","0"
"156","(18,21]","F","1","0","0"
"157","(18,21]","M","1","0","0"
"158","(21,80]","M","1","0","0"
"159","(16,18]","F","1","0","0"
"160","(16,18]","F","1","0","0"
"161","(21,80]","M","1","0","0"
"162","(21,80]","M","2","0","0"
"163","(21,80]","F","2","0","0"
"164","(18,21]","M","2","0","0"
"165","(18,21]","M","3","0","0"
"166","(16,18]","M","2","0","0"
"167","(16,18]","M","2","0","0"
"168","(16,18]","M","2","0","0"
"169","(21,80]","F","2","0","0"
"170","(21,80]","F","2","0","0"
"171","(16,18]","F","3","0","0"
"172","(16,18]","F","1","0","0"
"173","(18,21]","F","1","0","0"
"174","(18,21]","F","3","0","0"
"175","(21,80]","F","2","0","0"
"176","(21,80]","F","3","0","0"
"177","(16,18]","M","2","1+","0"
"178","(16,18]","F","1","0","0"
"179","(16,18]","M","1","0","0"
"180","(18,21]","F","1","0","0"
"181","(18,21]","F","2","0","0"
"182","(16,18]","F","1","0","0"
"183","(21,80]","F","2","0","0"
"184","(16,18]","M","1","0","0"
"185","(16,18]","M","2","1+","0"
"186","(18,21]","F","3","0","0"
"187","(21,80]","F","1","1+","0"
"188","(16,18]","F","2","0","0"
"189","(21,80]","F","1","1+","0"
"190","(16,18]","M","3","0","0"
"191","(16,18]","F","1","0","0"
"192","(18,21]","F","2","0","0"
"193","(18,21]","M","2","0","0"
"194","(16,18]","M","1","0","0"
"195","(18,21]","M","1","0","0"
"196","(16,18]","F","1","0","0"
"197","(16,18]","F","1","0","0"
"198","(21,80]","F","2","0","0"
"199","(16,18]","F","2","0","0"
"200","(18,21]","M","3","0","0"
"201","(21,80]","F","2","0","0"
"202","(21,80]","F","3","0","0"
"203","(21,80]","F","3","0","0"
"204","(16,18]","F","1","0","0"
"205","(18,21]","F","2","0","0"
"206","(21,80]","F","2","1+","0"
"207","(18,21]","F","1","0","0"
"208","(21,80]","M","1","0","0"
"209","(18,21]","M","1","0","0"
"210","(16,18]","F","2","0","0"
"211","(16,18]","F","2","0","0"
"212","(16,18]","F","2","1+","0"
"213","(16,18]","F","1","0","0"
"214","(16,18]","F","2","0","0"
"215","(16,18]","F","2","0","0"
"216","(16,18]","F","2","0","0"
"217","(18,21]","F","1","0","0"
"218","(21,80]","F","3","0","0"
"219","(18,21]","M","2","0","0"
"220","(21,80]","F","3","0","0"
"221","(16,18]","M","1","0","0"
"222","(18,21]","F","1","0","0"
"223","(18,21]","M","2","1+","0"
"224","(18,21]","M","3","0","0"
"225","(16,18]","F","3","0","0"
"226","(16,18]","F","3","0","0"
"227","(18,21]","M","1","0","0"
"228","(16,18]","F","2","0","0"
"229","(21,80]","F","1","0","0"
"230","(21,80]","F","1","0","0"
"231","(16,18]","F","1","0","0"
"232","(21,80]","F","3","0","0"
"233","(21,80]","F","1","0","0"
"234","(16,18]","F","1","0","0"
"235","(16,18]","F","1","1+","0"
"236","(18,21]","F","3","0","0"
"237","(18,21]","F","2","1+","0"
"238","(16,18]","F","3","0","0"
"239","(16,18]","F","3","0","0"
"240","(21,80]","F","1","1+","0"
"241","(18,21]","F","1","0","0"
"242","(16,18]","F","1","1+","0"
"243","(16,18]","M","1","0","0"
"244","(16,18]","F","2","0","0"
"245","(16,18]","F","2","0","0"
"246","(18,21]","M","3","0","0"
"247","(16,18]","F","1","0","0"
"248","(18,21]","F","1","0","0"
"249","(21,80]","F","3","0","0"
"250","(21,80]","F","3","0","0"
"251","(16,18]","F","1","0","0"
"252","(21,80]","F","3","0","0"
"253","(21,80]","F","1","0","0"
"254","(21,80]","M","3","1+","0"
"255","(16,18]","F","1","0","0"
"256","(18,21]","M","2","0","0"
"257","(16,18]","M","2","0","0"
"258","(21,80]","F","2","0","0"
"259","(16,18]","M","1","0","0"
"260","(16,18]","F","2","0","0"
"261","(21,80]","F","1","0","0"
"262","(16,18]","F","2","1+","0"
"263","(18,21]","M","1","0","0"
"264","(21,80]","F","2","0","0"
"265","(21,80]","F","1","0","0"
"266","(16,18]","F","3","0","0"
"267","(18,21]","F","2","0","0"
"268","(21,80]","F","2","0","0"
"269","(18,21]","F","3","0","0"
"270","(18,21]","M","2","0","0"
"271","(16,18]","M","2","0","0"
"272","(16,18]","M","2","0","0"
"273","(18,21]","M","2","0","0"
"274","(21,80]","F","1","0","0"
"275","(16,18]","M","1","0","0"
"276","(18,21]","F","1","0","0"
"277","(18,21]","M","1","0","0"
"278","(21,80]","F","1","0","0"
"279","(16,18]","F","3","1+","0"
"280","(16,18]","F","1","0","0"
"281","(18,21]","M","2","0","0"
"282","(21,80]","F","2","0","0"
"283","(16,18]","M","1","0","0"
"284","(18,21]","F","1","0","0"
"285","(18,21]","F","3","0","0"
"286","(16,18]","F","2","0","0"
"287","(16,18]","M","2","0","0"
"288","(16,18]","F","3","0","0"
"289","(16,18]","M","2","0","0"
"290","(16,18]","F","2","0","0"
"291","(16,18]","F","2","0","0"
"292","(21,80]","M","2","0","0"
"293","(16,18]","M","1","0","0"
"294","(16,18]","F","2","0","0"
"295","(18,21]","F","2","0","0"
"296","(16,18]","F","1","0","0"
"297","(21,80]","M","1","0","0"
"298","(21,80]","F","1","0","0"
"299","(18,21]","F","1","0","0"
"300","(21,80]","F","1","0","0"
"301","(16,18]","M","3","0","0"
"302","(16,18]","F","1","0","0"
"303","(16,18]","M","2","0","0"
"304","(18,21]","F","3","0","0"
"305","(21,80]","F","3","0","0"
"306","(16,18]","F","3","0","0"
"307","(18,21]","F","1","0","0"
"308","(18,21]","M","1","1+","0"
"309","(18,21]","F","1","0","0"
"310","(21,80]","F","1","0","0"
"311","(16,18]","M","1","0","0"
"312","(18,21]","F","1","0","0"
"313","(21,80]","F","1","0","0"
"314","(18,21]","M","3","0","0"
"315","(16,18]","F","1","0","0"
"316","(21,80]","F","2","0","0"
"317","(16,18]","F","2","0","0"
"318","(18,21]","M","2","0","0"
"319","(16,18]","M","3","0","0"
"320","(18,21]","F","3","0","0"
"321","(16,18]","F","1","0","0"
"322","(18,21]","F","2","0","0"
"323","(21,80]","F","1","0","0"
"324","(18,21]","M","1","0","0"
"325","(16,18]","M","2","0","0"
"326","(16,18]","F","2","0","0"
"327","(21,80]","M","3","0","0"
"328","(18,21]","M","1","0","0"
"329","(21,80]","F","1","0","0"
"330","(18,21]","M","1","0","0"
"331","(21,80]","F","1","0","0"
"332","(16,18]","M","2","1+","0"
"333","(16,18]","M","1","0","0"
"334","(16,18]","F","3","0","0"
"335","(16,18]","F","1","0","0"
"336","(18,21]","M","2","0","0"
"337","(16,18]","M","3","0","0"
"338","(18,21]","F","1","0","0"
"339","(21,80]","M","2","0","0"
"340","(16,18]","F","2","0","0"
"341","(21,80]","F","2","0","0"
"342","(21,80]","F","2","0","0"
"343","(21,80]","F","1","0","0"
"344","(21,80]","F","2","0","0"
"345","(16,18]","F","1","0","0"
"346","(18,21]","F","1","0","0"
"347","(21,80]","M","1","0","0"
"348","(21,80]","M","1","0","0"
"349","(16,18]","F","2","0","0"
"350","(18,21]","M","2","0","0"
"351","(16,18]","M","1","0","0"
"352","(21,80]","F","3","0","0"
"353","(16,18]","M","1","0","0"
"354","(18,21]","F","1","0","0"
"355","(18,21]","M","1","0","0"
"356","(16,18]","F","2","0","0"
"357","(16,18]","M","1","0","0"
"358","(21,80]","F","1","0","0"
"359","(18,21]","F","3","0","0"
"360","(18,21]","M","3","0","0"
"361","(18,21]","F","1","1+","0"
"362","(21,80]","M","1","0","0"
"363","(21,80]","F","3","0","0"
"364","(18,21]","F","1","0","0"
"365","(21,80]","M","1","1+","0"
"366","(18,21]","M","2","0","0"
"367","(18,21]","M","1","0","0"
"368","(16,18]","M","1","0","0"
"369","(16,18]","F","1","1+","0"
"370","(16,18]","F","1","0","0"
"371","(16,18]","F","1","0","0"
"372","(18,21]","M","2","0","0"
"373","(16,18]","F","3","0","0"
"374","(16,18]","M","1","1+","0"
"375","(18,21]","F","2","0","0"
"376","(21,80]","F","1","0","0"
"377","(16,18]","F","1","1+","0"
"378","(16,18]","F","1","0","0"
"379","(16,18]","M","1","0","0"
"380","(16,18]","F","1","0","0"
"381","(16,18]","M","1","0","0"
"382","(18,21]","M","3","0","0"
"383","(16,18]","F","2","0","0"
"384","(16,18]","M","3","0","0"
"385","(18,21]","M","1","0","0"
"386","(21,80]","F","1","0","0"
"387","(16,18]","M","2","0","0"
"388","(16,18]","F","1","0","0"
"389","(18,21]","F","2","0","0"
"390","(21,80]","F","1","0","0"
"391","(21,80]","M","1","0","0"
"392","(18,21]","F","2","0","0"
"393","(16,18]","M","2","0","0"
"394","(21,80]","F","1","0","0"
"395","(21,80]","F","1","1+","0"
"396","(16,18]","M","2","0","0"
"397","(21,80]","F","2","0","0"
"398","(18,21]","F","1","0","0"
"399","(21,80]","F","1","0","0"
"400","(16,18]","M","2","0","0"
"401","(21,80]","M","2","0","0"
"402","(16,18]","M","1","0","0"
"403","(21,80]","F","3","0","0"
"404","(18,21]","F","2","0","0"
"405","(16,18]","M","3","0","0"
"406","(18,21]","F","1","0","0"
"407","(16,18]","F","2","0","0"
"408","(16,18]","F","1","0","0"
"409","(18,21]","F","2","1+","0"
"410","(21,80]","M","2","0","0"
"411","(16,18]","F","1","0","0"
"412","(21,80]","F","1","0","0"
"413","(21,80]","F","1","0","0"
"414","(16,18]","M","1","0","0"
"415","(16,18]","M","1","1+","0"
"416","(21,80]","F","2","0","0"
"417","(18,21]","M","3","0","0"
"418","(21,80]","F","1","0","0"
"419","(16,18]","M","2","0","0"
"420","(18,21]","F","1","0","0"
"421","(16,18]","M","1","0","0"
"422","(16,18]","F","1","0","0"
"423","(21,80]","F","1","0","0"
"424","(21,80]","M","1","0","0"
"425","(16,18]","M","3","0","0"
"426","(18,21]","F","1","0","0"
"427","(16,18]","M","1","0","0"
"428","(16,18]","M","1","0","0"
"429","(21,80]","F","1","0","0"
"430","(16,18]","M","2","0","0"
"431","(16,18]","F","1","0","0"
"432","(16,18]","M","1","0","0"
"433","(16,18]","F","1","0","0"
"434","(16,18]","M","2","0","0"
"435","(18,21]","F","3","0","0"
"436","(18,21]","F","1","0","0"
"437","(16,18]","M","1","0","0"
"438","(18,21]","F","1","0","0"
"439","(21,80]","F","1","0","0"
"440","(16,18]","M","1","0","0"
"441","(21,80]","M","2","0","0"
"442","(16,18]","M","2","0","0"
"443","(16,18]","F","2","0","0"
"444","(21,80]","F","3","0","0"
"445","(16,18]","M","1","0","0"
"446","(16,18]","M","1","0","0"
"447","(21,80]","M","1","0","0"
"448","(21,80]","F","1","0","0"
"449","(16,18]","M","1","1+","0"
"450","(16,18]","F","1","0","0"
"451","(16,18]","M","3","0","0"
"452","(16,18]","M","2","0","0"
"453","(21,80]","F","3","0","0"
"454","(21,80]","M","1","0","0"
"455","(18,21]","M","2","0","0"
"456","(21,80]","M","1","0","0"
"457","(18,21]","F","2","0","0"
"458","(16,18]","F","1","0","0"
"459","(16,18]","F","1","0","0"
"460","(21,80]","F","2","0","0"
"461","(21,80]","M","1","0","0"
"462","(18,21]","F","1","0","0"
"463","(16,18]","F","1","0","0"
"464","(16,18]","F","1","0","0"
"465","(18,21]","F","1","0","0"
"466","(21,80]","F","2","0","0"
"467","(16,18]","F","1","0","0"
"468","(16,18]","F","3","0","0"
"469","(18,21]","F","1","0","0"
"470","(16,18]","F","2","0","0"
"471","(16,18]","F","3","0","0"
"472","(16,18]","F","1","0","0"
"473","(16,18]","M","1","1+","0"
"474","(21,80]","F","1","0","0"
"475","(16,18]","M","1","0","0"
"476","(16,18]","F","2","0","0"
"477","(16,18]","F","1","0","0"
"478","(16,18]","M","1","0","0"
"479","(18,21]","F","2","0","0"
"480","(18,21]","M","3","1+","0"
"481","(21,80]","F","1","0","0"
"482","(16,18]","M","1","0","0"
"483","(21,80]","F","3","0","0"
"484","(16,18]","M","1","0","0"
"485","(16,18]","M","3","0","0"
"486","(21,80]","F","2","0","0"
"487","(16,18]","M","1","0","0"
"488","(16,18]","M","1","0","0"
"489","(21,80]","M","2","0","0"
"490","(18,21]","F","1","0","0"
"491","(18,21]","F","3","0","0"
"492","(16,18]","F","1","0","0"
"493","(21,80]","F","1","0","0"
"494","(16,18]","M","1","0","0"
"495","(18,21]","F","2","0","0"
"496","(18,21]","F","2","0","0"
"497","(21,80]","M","2","0","0"
"498","(21,80]","F","2","0","0"
"499","(16,18]","M","2","1+","0"
"500","(16,18]","F","1","0","0"
"501","(18,21]","F","1","0","0"
"502","(16,18]","F","1","0","0"
"503","(18,21]","F","1","1+","0"
"504","(21,80]","M","3","0","0"
"505","(21,80]","F","2","0","0"
"506","(16,18]","M","1","1+","0"
"507","(16,18]","M","1","0","0"
"508","(16,18]","M","2","0","0"
"509","(21,80]","F","1","0","0"
"510","(18,21]","F","1","0","0"
"511","(18,21]","M","1","0","0"
"512","(16,18]","F","2","0","0"
"513","(18,21]","M","2","0","0"
"514","(16,18]","F","2","0","0"
"515","(18,21]","M","1","0","0"
"516","(21,80]","M","1","0","0"
"517","(18,21]","F","1","0","0"
"518","(16,18]","M","1","0","0"
"519","(21,80]","M","1","0","0"
"520","(18,21]","F","3","0","0"
"521","(16,18]","M","2","0","0"
"522","(16,18]","M","2","0","0"
"523","(16,18]","M","3","0","0"
"524","(16,18]","M","2","0","0"
"525","(18,21]","F","3","0","0"
"526","(21,80]","M","2","0","0"
"527","(18,21]","M","1","0","0"
"528","(18,21]","F","1","0","0"
"529","(16,18]","M","1","0","0"
"530","(16,18]","F","1","0","0"
"531","(21,80]","F","1","0","0"
"532","(16,18]","F","1","0","0"
"533","(16,18]","F","1","0","0"
"534","(18,21]","F","2","0","0"
"535","(16,18]","F","2","0","0"
"536","(16,18]","M","2","0","0"
"537","(16,18]","M","2","0","0"
"538","(21,80]","M","2","0","0"
"539","(16,18]","F","1","0","0"
"540","(16,18]","M","1","1+","0"
"541","(18,21]","F","2","0","0"
"542","(18,21]","M","1","0","0"
"543","(16,18]","M","1","0","0"
"544","(21,80]","F","2","0","0"
"545","(21,80]","M","3","0","0"
"546","(18,21]","F","1","0","0"
"547","(18,21]","M","1","1+","0"
"548","(21,80]","F","1","0","0"
"549","(16,18]","M","1","0","0"
"550","(21,80]","M","3","0","0"
"551","(18,21]","M","2","1+","0"
"552","(21,80]","M","1","0","0"
"553","(21,80]","F","1","0","0"
"554","(18,21]","M","1","0","0"
"555","(18,21]","F","1","0","0"
"556","(18,21]","F","1","0","0"
"557","(21,80]","M","1","0","0"
"558","(18,21]","M","1","0","0"
"559","(16,18]","M","2","0","0"
"560","(18,21]","M","3","0","0"
"561","(18,21]","F","3","0","0"
"562","(16,18]","M","1","0","0"
"563","(18,21]","F","2","0","0"
"564","(21,80]","M","2","0","0"
"565","(21,80]","F","1","0","0"
"566","(16,18]","M","1","0","0"
"567","(16,18]","F","1","0","0"
"568","(21,80]","F","1","0","0"
"569","(21,80]","F","1","0","0"
"570","(16,18]","F","1","0","0"
"571","(21,80]","F","1","0","0"
"572","(16,18]","M","1","0","0"
"573","(18,21]","F","1","0","0"
"574","(18,21]","F","3","0","0"
"575","(16,18]","M","3","0","0"
"576","(16,18]","F","1","0","0"
"577","(21,80]","M","1","0","0"
"578","(16,18]","F","1","0","0"
"579","(21,80]","F","1","0","0"
"580","(21,80]","M","2","0","0"
"581","(16,18]","F","3","0","0"
"582","(18,21]","F","1","0","0"
"583","(21,80]","M","1","0","0"
"584","(18,21]","F","1","0","0"
"585","(18,21]","F","1","0","0"
"586","(16,18]","M","1","0","0"
"587","(16,18]","M","1","0","0"
"588","(16,18]","M","3","0","0"
"589","(18,21]","F","1","0","0"
"590","(21,80]","F","1","0","0"
"591","(16,18]","M","2","1+","0"
"592","(21,80]","M","1","0","0"
"593","(16,18]","M","1","0","0"
"594","(16,18]","M","3","0","0"
"595","(16,18]","M","2","0","0"
"596","(18,21]","F","3","0","0"
"597","(21,80]","F","1","0","0"
"598","(18,21]","M","3","0","0"
"599","(18,21]","F","2","0","0"
"600","(21,80]","F","2","0","0"
"601","(16,18]","F","2","0","0"
"602","(18,21]","F","1","0","0"
"603","(16,18]","F","1","0","0"
"604","(18,21]","M","1","0","0"
"605","(21,80]","F","1","0","0"
"606","(21,80]","F","1","1+","0"
"607","(16,18]","F","2","0","0"
"608","(18,21]","F","3","0","0"
"609","(21,80]","M","2","0","0"
"610","(18,21]","F","2","0","0"
"611","(18,21]","F","1","0","0"
"612","(21,80]","F","1","0","0"
"613","(16,18]","F","2","0","0"
"614","(16,18]","F","1","0","0"
"615","(21,80]","F","3","0","0"
"616","(21,80]","M","1","0","0"
"617","(21,80]","M","1","0","0"
"618","(16,18]","M","2","0","0"
"619","(16,18]","M","3","0","0"
"620","(21,80]","M","2","0","0"
"621","(18,21]","F","2","0","0"
"622","(21,80]","F","1","0","0"
"623","(18,21]","M","1","0","0"
"624","(21,80]","F","3","0","0"
"625","(21,80]","F","1","0","0"
"626","(16,18]","M","1","0","0"
"627","(18,21]","F","3","0","0"
"628","(21,80]","F","1","0","0"
"629","(18,21]","F","1","0","0"
"630","(21,80]","M","1","0","0"
"631","(21,80]","M","2","0","0"
"632","(16,18]","M","2","0","0"
"633","(21,80]","F","2","0","0"
"634","(21,80]","M","1","0","0"
"635","(16,18]","M","2","0","0"
"636","(16,18]","M","1","0","0"
"637","(21,80]","F","2","0","0"
"638","(21,80]","F","3","0","0"
"639","(16,18]","F","3","0","0"
"640","(21,80]","F","1","1+","0"
"641","(21,80]","F","2","0","0"
"642","(21,80]","M","1","0","0"
"643","(16,18]","F","3","0","0"
"644","(18,21]","M","1","1+","0"
"645","(21,80]","M","2","0","0"
"646","(21,80]","F","2","0","0"
"647","(18,21]","F","2","0","0"
"648","(16,18]","M","2","0","0"
"649","(21,80]","F","1","0","0"
"650","(21,80]","M","1","0","0"
"651","(21,80]","F","2","0","0"
"652","(21,80]","M","2","0","0"
"653","(16,18]","F","2","0","0"
"654","(18,21]","M","1","0","0"
"655","(16,18]","F","1","0","0"
"656","(21,80]","F","3","0","0"
"657","(21,80]","F","1","0","0"
"658","(18,21]","M","1","1+","0"
"659","(18,21]","F","1","0","0"
"660","(16,18]","M","1","0","0"
"661","(21,80]","F","3","0","0"
"662","(21,80]","F","3","0","0"
"663","(18,21]","F","2","0","0"
"664","(21,80]","M","1","0","0"
"665","(18,21]","F","3","0","0"
"666","(18,21]","F","1","0","0"
"667","(16,18]","F","1","0","0"
"668","(18,21]","F","2","1+","0"
"669","(16,18]","M","1","0","0"
"670","(16,18]","M","2","0","0"
"671","(21,80]","M","2","0","0"
"672","(21,80]","M","1","0","0"
"673","(21,80]","F","1","1+","0"
"674","(21,80]","M","3","0","0"
"675","(18,21]","F","1","0","0"
"676","(21,80]","F","2","0","0"
"677","(21,80]","M","1","0","0"
"678","(21,80]","F","2","0","0"
"679","(18,21]","M","1","0","0"
"680","(16,18]","F","1","0","0"
"681","(16,18]","F","1","0","0"
"682","(18,21]","M","2","0","0"
"683","(18,21]","M","2","0","0"
"684","(18,21]","M","3","0","0"
"685","(16,18]","F","1","0","0"
"686","(16,18]","F","2","0","0"
"687","(16,18]","F","2","0","0"
"688","(21,80]","F","1","0","0"
"689","(16,18]","M","3","0","0"
"690","(16,18]","M","1","0","0"
"691","(21,80]","F","2","0","0"
"692","(21,80]","F","1","0","0"
"693","(16,18]","M","2","0","0"
"694","(16,18]","M","1","0","0"
"695","(21,80]","M","2","0","0"
"696","(16,18]","F","2","0","0"
"697","(21,80]","F","2","0","0"
"698","(21,80]","F","2","0","0"
"699","(16,18]","M","2","0","0"
"700","(18,21]","F","2","0","0"
"701","(18,21]","F","1","0","0"
"702","(21,80]","F","1","0","0"
"703","(18,21]","F","2","0","0"
"704","(16,18]","M","3","0","0"
"705","(16,18]","F","1","0","0"
"706","(18,21]","F","2","0","0"
"707","(21,80]","F","3","0","0"
"708","(16,18]","M","2","0","0"
"709","(18,21]","F","1","0","0"
"710","(21,80]","F","1","0","0"
"711","(21,80]","F","1","0","0"
"712","(21,80]","F","2","0","0"
"713","(21,80]","F","2","0","0"
"714","(18,21]","F","1","0","0"
"715","(18,21]","M","3","0","0"
"716","(16,18]","F","2","0","0"
"717","(18,21]","M","1","0","0"
"718","(21,80]","M","3","0","0"
"719","(18,21]","F","1","1+","0"
"720","(21,80]","F","1","0","0"
"721","(16,18]","F","1","0","0"
"722","(21,80]","F","1","0","0"
"723","(16,18]","M","3","0","0"
"724","(21,80]","F","3","0","0"
"725","(16,18]","M","3","0","0"
"726","(21,80]","F","2","0","0"
"727","(18,21]","M","1","1+","0"
"728","(18,21]","F","2","0","0"
"729","(16,18]","M","2","1+","0"
"730","(16,18]","M","1","1+","0"
"731","(18,21]","F","1","0","0"
"732","(18,21]","M","1","0","0"
"733","(21,80]","F","1","0","0"
"734","(16,18]","M","1","0","0"
"735","(16,18]","F","2","0","0"
"736","(21,80]","M","1","1+","0"
"737","(18,21]","M","2","0","0"
"738","(21,80]","M","1","0","0"
"739","(21,80]","F","1","0","0"
"740","(16,18]","M","1","0","0"
"741","(21,80]","M","3","0","0"
"742","(18,21]","M","2","0","0"
