"","age_group","sex","miles","acc_inv"
"1","(18,21]","M","3","0"
"2","(21,80]","F","3","0"
"3","(21,80]","M","3","0"
"4","(21,80]","F","2","0"
"5","(21,80]","F","3","0"
"6","(16,18]","F","3","0"
"7","(21,80]","F",NA,"0"
"8","(21,80]","F","3","0"
"9","(16,18]","F",NA,"0"
"10","(21,80]","F","2","1+"
"11","(21,80]","F","2","0"
"12","(21,80]","F","3","0"
"13","(21,80]","M","2","0"
"14","(16,18]","M","2","1+"
"15","(18,21]","M","2","0"
"16","(21,80]","M","3","0"
"17","(18,21]","F",NA,"0"
"18","(21,80]","F","3","0"
"19","(16,18]","M","2","0"
"20","(16,18]","M","2","0"
"21","(21,80]","F","3","0"
"22","(21,80]","F","2","0"
"23","(16,18]","M","2","0"
"24","(16,18]","F","3","0"
"25","(16,18]","M","2","0"
"26","(21,80]","F","2","0"
"27","(16,18]","F","3","0"
"28","(16,18]","F","3","0"
"29","(16,18]","M","3","0"
"30","(18,21]","F","3","0"
"31","(18,21]","F","1","0"
"32","(18,21]","F","2","0"
"33","(16,18]","F","2","1+"
"34","(21,80]","F","2","0"
"35","(21,80]","F","2","0"
"36","(16,18]","M","2","1+"
"37","(16,18]","M","2","0"
"38","(21,80]","F","3","0"
"39","(16,18]","F","3","0"
"40","(18,21]","F","3","0"
"41","(18,21]","F","3","0"
"42","(21,80]","F","3","0"
"43","(21,80]","F","3","0"
"44","(16,18]","M","2","0"
"45","(16,18]","F","3","0"
"46","(21,80]","M","2","0"
"47","(21,80]","F","2","0"
"48","(16,18]","F","2","0"
"49","(21,80]","F","3","0"
"50","(16,18]","F","2","0"
"51","(16,18]","F","1","0"
"52","(16,18]","F","3","0"
"53","(18,21]","M","2","0"
"54","(16,18]","F","3","0"
"55","(16,18]","M","3","0"
"56","(16,18]","M","1","0"
"57","(18,21]","M","2","0"
"58","(21,80]","M","3","0"
"59","(21,80]","M","2","0"
"60","(21,80]","F","3","0"
"61","(18,21]","M","1","0"
"62","(21,80]","M","2","0"
"63","(16,18]","M","3","0"
"64","(21,80]","M","2","0"
"65","(16,18]","F","2","0"
"66","(21,80]","F","3","0"
"67","(21,80]","M","3","0"
"68","(16,18]","M","3","0"
"69","(18,21]","F","3","0"
"70","(16,18]","F",NA,"0"
"71","(21,80]","F",NA,"0"
"72","(16,18]","F","3","0"
"73","(21,80]","F","2","0"
"74","(21,80]","F","3","0"
"75","(16,18]","M","1","0"
"76","(18,21]","F",NA,"0"
"77","(21,80]","F","3","0"
"78","(21,80]","F","2","1+"
"79","(18,21]","M","3","0"
"80","(16,18]","M","1","0"
"81","(16,18]","F","3","0"
"82","(21,80]","F","2","0"
"83","(16,18]","M","1",NA
"84","(16,18]","M","2","0"
"85","(18,21]","M","3","0"
"86","(18,21]","F","2","0"
"87","(21,80]","M","3","0"
"88","(16,18]","F","3","0"
"89","(18,21]","F",NA,"1+"
"90","(18,21]","M","2","1+"
"91","(16,18]","M","3","0"
"92","(18,21]","M","2","1+"
"93","(18,21]","M","2","0"
"94","(16,18]","F",NA,"0"
"95","(16,18]","M","3","0"
"96","(18,21]","F",NA,"1+"
"97","(18,21]","F","2","0"
"98","(16,18]","M","3",NA
"99","(16,18]","M","3","0"
"100","(18,21]","M","3","0"
"101","(18,21]","F","2","0"
"102","(16,18]","F","3","1+"
"103","(16,18]","F",NA,"0"
"104","(18,21]","F","2","0"
"105","(16,18]","F","3","0"
"106","(21,80]","F",NA,"0"
"107","(16,18]","M","2","0"
"108","(16,18]","M","2","0"
"109","(16,18]","M","2","0"
"110","(21,80]","M",NA,"0"
"111","(21,80]","F","3","0"
"112","(18,21]","F","3","0"
"113","(18,21]","M","2","0"
"114","(18,21]","F","2","0"
"115","(16,18]","F","3","1+"
"116","(16,18]","M",NA,"0"
"117","(16,18]","F","3","0"
"118","(21,80]","F","2","0"
"119","(16,18]","F","2","0"
"120","(18,21]","M","3","0"
"121","(16,18]","M","2","0"
"122","(16,18]","F","3","0"
"123","(16,18]","F","3","0"
"124","(21,80]","F","2","0"
"125","(16,18]","M","1","0"
"126","(21,80]","F","3","0"
"127","(18,21]","M","3","0"
"128","(16,18]","M","2","0"
"129","(16,18]","F",NA,"0"
"130","(18,21]","F","3","0"
"131","(16,18]","M","3","0"
"132","(16,18]","F","3","0"
"133","(21,80]","M","2","0"
"134","(18,21]","M","3","0"
"135","(21,80]","M","2","0"
"136","(21,80]","F","3","0"
"137","(16,18]","F","3","0"
"138","(21,80]","F","3","0"
"139","(18,21]","F","2","0"
"140","(18,21]","F",NA,"0"
"141","(16,18]","F","3","0"
"142","(21,80]","M","2","0"
"143","(21,80]","M","1","1+"
"144","(21,80]","F","3","0"
"145","(16,18]","F","3","0"
"146","(18,21]","M","1","0"
"147","(18,21]","F","3","0"
"148","(16,18]","F","2","1+"
"149","(21,80]","M","2","0"
"150","(21,80]","F","2","0"
"151","(21,80]","M","2","0"
"152","(21,80]","F","3","0"
"153","(21,80]","F","3","0"
"154","(18,21]","F","3","0"
"155","(16,18]","F","3","0"
"156","(16,18]","M","2","0"
"157","(18,21]","F","3","0"
"158","(18,21]","F","3","0"
"159","(18,21]","M","2","0"
"160","(21,80]","M","3","0"
"161","(16,18]","F","2","0"
"162","(16,18]","F","3","0"
"163","(21,80]","M","2","0"
"164","(21,80]","M","3","0"
"165","(21,80]","F","2","0"
"166","(18,21]","M","3","0"
"167","(21,80]","M","2",NA
"168","(18,21]","M","3","0"
"169","(16,18]","M","3","0"
"170","(16,18]","M","3","0"
"171","(16,18]","M","2","0"
"172","(21,80]","F","3","0"
"173","(21,80]","F","3","0"
"174","(16,18]","F","3","0"
"175","(16,18]","F","3","0"
"176","(18,21]","F","3","0"
"177","(18,21]","F","2","0"
"178","(21,80]","F","2","0"
"179","(21,80]","F","2","0"
"180","(16,18]","M","3","1+"
"181","(16,18]","F","3","0"
"182","(16,18]","M","2","0"
"183","(18,21]","F","2","0"
"184","(18,21]","F","3","0"
"185","(16,18]","F","2","0"
"186","(21,80]","F","3","0"
"187","(16,18]","M","2","0"
"188","(16,18]","M","2","1+"
"189","(18,21]","F","3","0"
"190","(21,80]","F","3","1+"
"191","(16,18]","F","3","0"
"192","(21,80]","F","3","1+"
"193","(16,18]","M","3","0"
"194","(16,18]","F","1","0"
"195","(18,21]","F","3","0"
"196","(18,21]","M","2","0"
"197","(16,18]","M","2","0"
"198","(18,21]","M","3","0"
"199","(16,18]","F","3","0"
"200","(16,18]","F","3","0"
"201","(21,80]","F","3","0"
"202","(16,18]","F","3","0"
"203","(18,21]","M","3","0"
"204","(21,80]","F","3","0"
"205","(21,80]","F","3","0"
"206","(21,80]","F","3","0"
"207","(16,18]","F",NA,"0"
"208","(18,21]","F",NA,"0"
"209","(21,80]","F","3","1+"
"210","(18,21]","F","2","0"
"211","(21,80]","M","1","0"
"212","(18,21]","M","1","0"
"213","(16,18]","F","3","0"
"214","(16,18]","F","2","0"
"215","(16,18]","F","3","1+"
"216","(16,18]","F","1","0"
"217","(16,18]","F","2","0"
"218","(16,18]","F","3","0"
"219","(16,18]","F","3","0"
"220","(18,21]","F","2","0"
"221","(21,80]","F","3","0"
"222","(18,21]","M","3","0"
"223","(21,80]","F","3","0"
"224","(16,18]","M","2","0"
"225","(18,21]","F",NA,"0"
"226","(18,21]","M","3","1+"
"227","(18,21]","M","2","0"
"228","(16,18]","F","3","0"
"229","(16,18]","F","3","0"
"230","(18,21]","M","2","0"
"231","(16,18]","F","3","0"
"232","(21,80]","F","1","0"
"233","(21,80]","F",NA,"0"
"234","(16,18]","F","2","0"
"235","(21,80]","F","2","0"
"236","(21,80]","F","3","0"
"237","(16,18]","F","3","0"
"238","(16,18]","F","2","1+"
"239","(18,21]","F","3","0"
"240","(18,21]","F","3","1+"
"241","(16,18]","F","3","0"
"242","(16,18]","F","3","0"
"243","(21,80]","F","3","1+"
"244","(18,21]","F","2","0"
"245","(16,18]","F","2","1+"
"246","(16,18]","M","1","0"
"247","(16,18]","F","2","0"
"248","(16,18]","F","3","0"
"249","(18,21]","M","3","0"
"250","(16,18]","F","1","0"
"251","(18,21]","F","2","0"
"252","(21,80]","F","2","0"
"253","(21,80]","F","3","0"
"254","(16,18]","F","2","0"
"255","(21,80]","F","3","0"
"256","(21,80]","F","3","0"
"257","(21,80]","M","3","1+"
"258","(16,18]","F","2","0"
"259","(18,21]","M","2","0"
"260","(16,18]","M","3","0"
"261","(21,80]","F","3","0"
"262","(16,18]","M","2","0"
"263","(16,18]","F","2","0"
"264","(21,80]","F","3","0"
"265","(16,18]","F",NA,"1+"
"266","(18,21]","M","2","0"
"267","(21,80]","F",NA,"0"
"268","(21,80]","F","2","0"
"269","(16,18]","F",NA,"0"
"270","(18,21]","F","3","0"
"271","(21,80]","F","3","0"
"272","(18,21]","F","3","0"
"273","(18,21]","M","3","0"
"274","(16,18]","M","3","0"
"275","(16,18]","M",NA,"0"
"276","(18,21]","M","2","0"
"277","(21,80]","F","2","0"
"278","(16,18]","M","3","0"
"279","(18,21]","F",NA,"0"
"280","(21,80]","M","2",NA
"281","(18,21]","M","1","0"
"282","(21,80]","F",NA,"0"
"283","(16,18]","F","2","1+"
"284","(16,18]","F","3","0"
"285","(18,21]","M","2","0"
"286","(21,80]","F","3","0"
"287","(16,18]","M","3","0"
"288","(18,21]","F","1","0"
"289","(18,21]","F","3","0"
"290","(16,18]","F","2","0"
"291","(16,18]","M","3","0"
"292","(16,18]","F","3","0"
"293","(16,18]","M","3","0"
"294","(16,18]","F","3","0"
"295","(16,18]","F","2","0"
"296","(21,80]","M","2","0"
"297","(16,18]","M","2","0"
"298","(16,18]","F","2","0"
"299","(18,21]","F","2","0"
"300","(16,18]","F","2","0"
"301","(21,80]","M","2","0"
"302","(21,80]","F","2","0"
"303","(18,21]","F","1","0"
"304","(21,80]","F","3","0"
"305","(16,18]","M","3","0"
"306","(16,18]","F","2","0"
"307","(16,18]","M","2","0"
"308","(18,21]","F","3","0"
"309","(21,80]","F","3","0"
"310","(16,18]","F","3","0"
"311","(18,21]","F","2","0"
"312","(18,21]","M","2","1+"
"313","(18,21]","F",NA,"0"
"314","(21,80]","F","2","0"
"315","(16,18]","M",NA,"0"
"316","(18,21]","F",NA,"0"
"317","(21,80]","F","3","0"
"318","(18,21]","M","3","0"
"319","(16,18]","F","2","0"
"320","(21,80]","F","3","0"
"321","(16,18]","F","3","0"
"322","(18,21]","M","3","0"
"323","(16,18]","M","3","0"
"324","(18,21]","F","3","0"
"325","(16,18]","F","3","0"
"326","(18,21]","F","3","0"
"327","(21,80]","F","2","0"
"328","(18,21]","M","2","0"
"329","(16,18]","M","3","0"
"330","(16,18]","F","3","0"
"331","(21,80]","M","3","0"
