"","sex","cohort","sent","wave1","wave2","wave3","wave4"
"1","M",3,0,0,0,0,0
"2","F",8,0,0,0,0,0
"3","M",2,0,0,0,0,0
"4","F",7,0,0,0,0,0
"5","M",3,0,0,0,0,0
"6","M",2,0,0,0,0,0
"7","F",2,0,0,0,0,0
"8","F",6,0,0,0,0,0
"9","F",2,0,0,0,0,0
"10","M",4,0,0,0,0,0
"11","M",4,0,0,0,0,0
"12","F",8,0,0,0,0,0
"13","F",13,0,0,0,NA,NA
"14","F",4,0,0,0,0,0
"15","M",5,0,0,0,0,0
"16","M",4,0,0,0,0,0
"17","F",3,0,0,0,0,0
"18","M",3,0,0,0,0,0
"19","F",3,0,0,0,0,0
"20","F",9,0,0,0,0,NA
"21","F",2,0,0,0,0,0
"22","F",15,0,0,0,NA,NA
"23","M",2,0,0,0,0,0
"24","F",2,1,1,1,1,1
"25","M",15,1,1,1,NA,NA
"26","M",3,0,0,0,0,0
"27","F",1,0,0,0,0,0
"28","M",1,0,0,0,0,0
"29","F",3,0,0,0,0,0
"30","M",11,0,0,0,0,NA
"31","F",10,0,0,0,0,NA
"32","F",1,0,0,0,0,0
"33","M",2,0,0,0,0,0
"34","F",3,0,0,0,0,0
"35","F",8,0,0,0,0,0
"36","M",3,0,0,0,0,0
"37","M",3,0,0,0,0,0
"38","F",3,0,0,0,0,0
"39","M",1,0,0,0,0,0
"40","F",5,0,0,0,0,0
"41","F",5,1,0,0,0,0
"42","F",8,0,0,0,0,0
"43","M",3,0,0,0,0,0
"44","F",1,0,0,0,0,0
"45","M",4,0,0,0,0,0
"46","F",8,0,0,0,0,0
"47","M",2,0,0,0,0,0
"48","F",14,0,0,0,NA,NA
"49","F",3,0,0,0,0,0
"50","F",14,0,0,0,NA,NA
"51","M",3,1,0,1,1,1
"52","M",3,0,0,0,0,0
"53","F",3,0,0,0,0,0
"54","M",4,1,1,0,1,1
"55","F",10,0,0,0,0,NA
"56","F",11,0,0,0,0,NA
"57","F",1,0,0,0,0,0
"58","F",2,0,0,0,0,0
"59","F",6,0,0,0,0,0
"60","F",1,0,0,0,0,0
"61","M",15,0,0,0,NA,NA
"62","F",3,0,0,0,0,0
"63","F",3,0,0,0,0,0
"64","F",7,1,1,0,1,0
"65","F",8,0,0,0,0,0
"66","M",4,0,0,0,0,0
"67","F",8,1,1,0,0,0
"68","F",6,0,0,0,0,0
"69","F",4,1,1,1,1,1
"70","F",8,0,0,0,0,0
"71","F",1,0,0,0,0,0
"72","F",7,0,0,0,0,0
"73","F",6,0,0,0,0,0
"74","M",3,0,0,0,0,0
"75","F",6,0,0,0,0,0
"76","F",11,0,0,0,0,NA
"77","M",1,0,0,0,0,0
"78","F",1,0,0,0,0,0
"79","F",3,1,1,0,0,0
"80","F",3,0,0,0,0,0
"81","F",8,0,0,0,0,0
"82","F",15,0,0,0,NA,NA
"83","F",3,0,0,0,0,0
"84","F",6,0,0,0,0,0
"85","M",5,0,0,0,0,0
"86","M",1,0,0,0,0,0
"87","M",5,0,0,0,0,0
"88","M",6,0,0,0,0,0
"89","M",13,0,0,0,NA,NA
"90","F",3,0,0,0,0,0
"91","F",10,0,0,0,0,NA
"92","F",9,0,0,0,0,NA
"93","M",3,0,0,0,0,0
"94","F",8,0,0,0,0,0
"95","M",2,0,0,0,0,0
"96","F",13,0,0,0,NA,NA
"97","F",12,1,0,0,0,NA
"98","F",1,0,0,0,0,0
"99","F",4,0,0,0,0,0
"100","F",8,0,0,0,0,0
"101","F",16,0,0,0,NA,NA
"102","F",4,0,0,0,0,0
"103","M",5,0,0,0,0,0
"104","F",7,0,0,0,0,0
"105","M",3,0,0,0,0,0
"106","F",12,0,0,0,0,NA
"107","F",8,1,0,0,0,0
"108","M",5,0,0,0,0,0
"109","M",4,0,0,0,0,0
"110","F",7,0,0,0,0,0
"111","F",2,0,0,0,0,0
"112","F",13,1,1,0,NA,NA
"113","F",6,0,0,0,0,0
"114","F",7,0,0,0,0,0
"115","F",6,0,0,0,0,0
"116","M",1,0,0,0,0,0
"117","M",1,0,0,0,0,0
"118","F",1,0,0,0,0,0
"119","F",2,0,0,0,0,0
"120","F",10,0,0,0,0,NA
"121","M",5,1,0,1,1,1
"122","F",1,1,1,1,0,0
"123","F",6,0,0,0,0,0
"124","F",8,0,0,0,0,0
"125","F",10,0,0,0,0,NA
"126","F",9,0,0,0,0,NA
"127","F",2,1,1,0,1,1
"128","F",6,0,0,0,0,0
"129","M",7,0,0,0,0,0
"130","F",16,0,0,0,NA,NA
"131","F",3,0,0,0,0,0
"132","M",9,1,1,1,0,NA
"133","M",2,0,0,0,0,0
"134","F",16,1,1,0,NA,NA
"135","F",14,1,1,1,NA,NA
"136","F",6,0,0,0,0,0
"137","F",6,0,0,0,0,0
"138","F",7,0,0,0,0,0
"139","M",3,0,0,0,0,0
"140","M",13,0,0,0,NA,NA
"141","F",1,0,0,0,0,0
"142","F",6,0,0,0,0,0
"143","F",3,0,0,0,0,0
"144","F",12,1,1,1,0,NA
"145","F",6,0,0,0,0,0
"146","F",7,1,1,1,1,1
"147","F",8,0,0,0,0,0
"148","M",11,1,0,1,1,NA
"149","F",5,0,0,0,0,0
"150","F",12,1,1,1,0,NA
"151","F",4,0,0,0,0,0
"152","F",1,0,0,0,0,0
"153","F",1,1,1,0,1,0
"154","M",8,0,0,0,0,0
"155","F",8,0,0,0,0,0
"156","F",4,0,0,0,0,0
"157","F",11,0,0,0,0,NA
"158","M",8,0,0,0,0,0
"159","F",10,0,0,0,0,NA
"160","F",10,1,1,1,1,NA
"161","M",7,0,0,0,0,0
"162","M",3,0,0,0,0,0
"163","M",1,0,0,0,0,0
"164","F",13,0,0,0,NA,NA
"165","F",7,0,0,0,0,0
"166","F",7,0,0,0,0,0
