"","sex","ef_age","new_age","acc_inv"
"1","M","(18,22]","(19,33]","0"
"2","F","(22,80]","(33,80]","0"
"3","M","(22,80]","(33,80]","0"
"4","F","(22,80]","(33,80]","0"
"5","F","(22,80]","(19,33]","0"
"6","F","[16,18]","[16,19]","0"
"7","F","(22,80]","(19,33]","0"
"8","F","(22,80]","(33,80]","0"
"9","F","[16,18]","[16,19]","0"
"10","F","(22,80]","(33,80]","1+"
"11","F","(22,80]","(33,80]","0"
"12","F","(22,80]","(33,80]","0"
"13","M","(22,80]","(19,33]","0"
"14","M","[16,18]","[16,19]","1+"
"15","M","(18,22]","[16,19]","0"
"16","M","(22,80]","(33,80]","0"
"17","F","(18,22]","[16,19]","0"
"18","F","(22,80]","(33,80]","0"
"19","M","[16,18]","[16,19]","0"
"20","M","[16,18]","[16,19]","0"
"21","F","(22,80]","(33,80]","0"
"22","F","(22,80]","(33,80]","0"
"23","M","[16,18]","[16,19]","0"
"24","F","[16,18]","[16,19]","0"
"25","M","[16,18]","[16,19]","0"
"26","F","(22,80]","(19,33]","0"
"27","F","[16,18]","[16,19]","0"
"28","F","[16,18]","[16,19]","0"
"29","M","[16,18]","[16,19]","0"
"30","F","[16,18]","[16,19]","0"
"31","F","[16,18]","[16,19]","0"
"32","F","[16,18]","[16,19]","0"
"33","F","[16,18]","[16,19]","1+"
"34","F","(22,80]","(19,33]","0"
"35","F","(22,80]","(19,33]","0"
"36","M","[16,18]","[16,19]","1+"
"37","M","[16,18]","[16,19]","0"
"38","F","(22,80]","(19,33]","0"
"39","F","[16,18]","[16,19]","0"
"40","F","[16,18]","[16,19]","0"
"41","F","[16,18]","[16,19]","0"
"42","F","(22,80]","(19,33]","0"
"43","F","(22,80]","(33,80]","0"
"44","M","[16,18]","[16,19]","0"
"45","F","[16,18]","[16,19]","0"
"46","M","(22,80]","(19,33]","0"
"47","F","(22,80]","(33,80]","0"
"48","F","[16,18]","[16,19]","0"
"49","F","(22,80]","(19,33]","0"
"50","F","[16,18]","[16,19]","0"
"51","F","[16,18]","[16,19]","0"
"52","F","[16,18]","[16,19]","0"
"53","M","(18,22]","(19,33]","0"
"54","F","[16,18]","[16,19]","0"
"55","M","[16,18]","[16,19]","0"
"56","M","[16,18]","[16,19]","0"
